chembl	schembl_id	name
CHEMBL218287	SCHEMBL5630616	CHEMBL218287
CHEMBL373749	SCHEMBL5629409	CHEMBL373749
CHEMBL396724	SCHEMBL5633029	CHEMBL396724
CHEMBL231836	SCHEMBL5629137	CHEMBL231836
CHEMBL394527	SCHEMBL5629430	GPi-688
CHEMBL234952	SCHEMBL5643375	5-Chloro-N-{1-[(2R)-2,3-dihydroxypropyl]-2-oxo-1,2,3,4-tetrahydroquinolin-3-yl}-1H-indole-2-carboxamide
CHEMBL234951	SCHEMBL14380796	918902-32-6
CHEMBL394526	SCHEMBL5630210	2,3-dichloro-n-{1-[(2r)-2,3-dihydroxypropyl]-2-oxo-1,2,3,4-tetrahydroquinolin-3-yl}-4h-thieno[3,2-b]pyrrole-5-carboxamide
CHEMBL398159	SCHEMBL5631032	CHEMBL398159
CHEMBL234950	SCHEMBL5629152	2-Chloro-N-[1-(3-hydroxypropyl)-2-oxo-1,2,3,4-tetrahydroquinolin-3-yl]-6H-thieno[2,3-b]pyrrole-5-carboxamide
CHEMBL233658	SCHEMBL5644321	5-Chloro-N-{1-[3-hydroxy-2-(hydroxymethyl)propyl]-2-oxo-1,2,3,4-tetrahydroquinolin-3-yl}-1H-indole-2-carboxamide
CHEMBL397688	SCHEMBL5629198	2-chloro-N-{1-[3-hydroxy-2-(hydroxymethyl)propyl]-2-oxo-1,2,3,4-tetrahydroquinolin-3-yl}-6H-thieno[2,3-b]pyrrole-5-carboxamide
CHEMBL233657	SCHEMBL5629371	CHEMBL233657
CHEMBL233656	SCHEMBL5642056	5-Chloro-N-[1-(2-hydroxyethyl)-2-oxo-1,2,3,4-tetrahydroquinolin-3-yl]-1H-indole-2-carboxamide
CHEMBL233447	SCHEMBL5629441	CHEMBL233447
CHEMBL395733	SCHEMBL5629522	CHEMBL395733
CHEMBL233446	SCHEMBL5629243	2-Chloro-N-[1-(cyanomethyl)-2-oxo-1,2,3,4-tetrahydroquinolin-3-yl]-6H-thieno[2,3-b]pyrrole-5-carboxamide
CHEMBL233445	SCHEMBL5631059	CHEMBL233445
