name	harmonized_name
BAYLOR COLLEGE MEDICINE	Baylor College of Medicine
BECKLEY PSYTECH LTD	Beckley Psytech
BEIERSDORF AG	Beiersdorf
BEIJING KONRUNS PHARMACEUTICAL CO LTD	Beijing Konruns Pharma
BEIJING MEIBEITA DRUG RES CO LTD	Beijing Meibeita Pharmaceutical
BEIJING SCITECH MQ PHARMACEUTICALS LTD	Scitech
BENEVOLENTAI BIO LTD	BenevolentAI
BERG LLC	Berg Health
BERGEN TEKNOLOGIOVERFOERING AS	Berg Health
BERGEN TEKNOLOGIOVERFOERING ASA	Berg Health
BERGEN TEKNOLOGIOVERFORING AS	Berg Health
BERGENBIO AS	BerGenBio
BERGENBIO ASA	BerGenBio
BETA PHARMA CANADA INC	Beta Pharam
BETA PHARMA INC	Beta Pharam
BETA PHARMA, INC.	Beta Pharam
BETA PHARMACEUTICALS CO LTD	Beta Pharam
BETAGENON AB	Betagenon
BETTA PHARMACEUTICALS CO LTD	Betta Pharmaceuticals
BHL PATENT HOLDINGS LLC	Bedding Holdings
BIOAXONE THERAPEUTIQUE INC	BioAxone
BIOCRYST PHARM INC	BioCryst
BIOENERGENIX LLC	BioEnergenix
BIOGEN IDEC INC	Biogen
BIOGEN MA INC	Biogen
BIOGENT IDEC INC	Biogen
BIOHAVEN THERAPEUTICS LTD	Biohaven Pharmaceuticals
BIOINTERVENE, INC.	Biointervene
BIOMARIN IGA LTD	BioMarin
BIOMARIN PHARM INC	BioMarin
BIOMED VALLEY DISCOVERIES INC	BioMed Valley
BIOMEDICAL RES FOUND OF THE ACAD OF ATHENS	Biomedical Research Foundation (BRFAA) of the Academy of Athens
BIOMEDICAL RES FOUNDATION OF THE ACADEMY OF ATHENS	Biomedical Research Foundation (BRFAA) of the Academy of Athens
BIOMERIEUX SA	bioMerieux
BIONOR IMMUNO AS	Bionor
BIONORICA AG	Bionorica
BIONORICA ETHICS GMBH	Bionorica
BIOPHILE CORPORATION, LTD.	Biophile
BIOSTRATUM INC	BioStratum
BIOSYNTH AG	Biosynth Carbosynth
BIOTAGE AB	Biotage
BIOTHERYX INC	Biotheryx
BIOVISTA INC	Biovista
BIOVITRUM AB	Swedish Orphan Biovitrum
BIOVITRUM AB (PUBL)	Swedish Orphan Biovitrum
BIOVITRUM AB PUBL	Swedish Orphan Biovitrum
BKG PHARMA APS	BKG HOLDING ApS
BLOSSOM INNOVATIONS LLC	Blossom Innovations
BLOSSOMS INNOVATIONS LLC	Blossom Innovations
